"id","area_code","name_park","location_park","district_name","area_size_rai","area_size_ngan","area_size_squarewah","adddate","updatedate"
"56","17816","สวนสาธารณะโครงการหมู่บ้านโกลเด้นนีโอ2ลาดพร้าว-เกษตร","","เขตบึงกุ่ม","2","2","0","2020-09-15","2020-09-15"
"55","17655","สวนน้ำคันนายาวภิรมย์ ซอยเสรีไทย 52 ถนนเสรีไทย","","เขตคันนายาว","3","0","4","2020-09-15","2020-09-15"
"54"," 10426"," สวนมณฑลภิรมย์",""," เขตตลิ่งชัน"," 0"," 2"," 83.00","2020-06-11","2020-08-10"
"53"," 17582"," สวนหย่อมด้านหลังสำนักงานเขตบึงกุ่ม",""," เขตบึงกุ่ม"," 0"," 0"," 95.00","2020-06-11","2020-06-11"
"52"," 17583"," สวนสาธารณะสโมสรและหอประชุมหมู่บ้านสหกรณ์",""," เขตบึงกุ่ม"," 0"," 3"," 60.00","2020-06-11","2020-06-11"
"51"," 13079"," สวนเฉลิมหล้า ถนนพญาไท",""," เขตราชเทวี"," 0"," 3"," 55.00","2020-06-11","2020-06-11"
"50"," 6961"," สวนหย่อมสมเด็จพระธีรญาณมุนี"," ถนนอนุวงศ์ แขวงจักรวรรดิ"," เขตสัมพันธวงศ์"," 0"," 2"," 35.00","2020-06-11","2020-06-11"
"49"," 1165"," สวนหย่อมพระราม 9",""," เขตบางกะปิ"," 0"," 1"," 34.00","2020-06-11","2020-06-11"
"48"," 2195"," สวนหย่อมแท่นศิลาฤกษ์",""," เขตบางคอแหลม"," 1"," 0"," 18.00","2020-06-11","2020-06-11"
"47"," 5654"," สวนหย่อมข้างฝ่ายรักษาฯ",""," เขตบางกะปิ"," 1"," 1"," 42.00","2020-06-11","2020-06-11"
"46"," 4160"," สวนสาธารณะวังทอง 1 (หน้าสวนวังทอง 1)",""," เขตวังทองหลาง"," 1"," 0"," 41.00","2020-06-11","2020-06-11"
"45"," 605"," สวนสาธารณะวังทอง 2 (หน้าสวนวังทอง 2)",""," เขตวังทองหลาง"," 1"," 0"," 34.00","2020-06-11","2020-06-11"
"44"," 1240"," สวนศรีบูรพา เชิงสะพานศรีบูรพา ด้านรามคำแหง","เชิงสะพานศรีบูรพา ด้านรามคำแหง"," เขตบางกะปิ"," 1"," 1"," 13.91","2020-06-11","2020-06-11"
"43"," 2586"," สวนหย่อมอุโมงค์กลับรถยนต์ถนนพัฒนาการ","ถนนพัฒนาการ"," เขตสวนหลวง"," 2"," 0"," 56.00","2020-06-11","2020-06-11"
"42"," 11848"," สวนสาธารณะและลานกีฬาเฉลิมพระเกียรติพระบามสมเด็จพระเจ้าอยู่หัวครบรอบ ๘๔ พรรษา","บริเวณใต้สะพานต่างระดับถนนราชพฤกษ์"," เขตธนบุรี"," 2"," 0"," 0.00","2020-06-11","2020-06-11"
"41"," 2794"," สวนป่าเฉลิมพระเกียรติเชิงสะพานพุทธ","เชิงสะพานพุทธ"," เขตธนบุรี"," 2"," 2"," 23.00","2020-06-11","2020-06-11"
"40"," 2900"," สวนชานบ้านดาวคะนอง-จอมทอง",""," เขตจอมทอง"," 2"," 2"," 0.00","2020-06-11","2020-06-11"
"39"," 14788"," สวนบางกอกใหญ่",""," เขตบางกอกใหญ่"," 2"," 0"," 36.00","2020-06-11","2020-06-11"
"38"," 580"," สวนรัฐบุรุษ (สวนพระรามหก)","ปากซอยสวนเงิน ถนนพระราม 6"," เขตราชเทวี"," 3"," 0"," 52.00","2020-06-11","2020-06-11"
"37"," 2133"," สวนหย่อมใต้สะพานพระราม 3 ริมแม่น้ำเจ้าพระยา","ใต้สะพานพระราม 3 ริมแม่น้ำเจ้าพระยา"," เขตบางคอแหลม"," 3"," 1"," 89.00","2020-06-11","2020-06-11"
"36"," 1926"," สวนสุขภาพเฉลิมพระเกียรติ 80 พรรษา","ถนนสรงประภา"," เขตดอนเมือง"," 3"," 2"," 78.00","2020-06-11","2020-06-11"
"35"," 12570"," สวนสุขภาพร่มเกล้า 1",""," เขตลาดกระบัง"," 4"," 2"," 45.00","2020-06-11","2020-06-11"
"34"," 11760"," สวนบางนาภิรมย์",""," เขตบางนา"," 4"," 2"," 14.00","2020-06-11","2020-06-11"
"33"," 2928"," สวนสุขภาพห้วยขวาง","ถนนเทียมร่วมมิตร (รฟม.ตัดใหม่)"," เขตห้วยขวาง"," 4"," 3"," 55.00","2020-06-11","2020-06-11"
